,Itemset,Antecedent Support,Union Support,Confidence,Lift
0,frozenset({'qty_@_params_0'}),0.9906375,0.6249875,0.6308942473912001,1.0094307958259203
1,frozenset({'qty_@_url_0'}),0.9878625,0.624675,0.6323501499449569,1.011760239911931
2,frozenset({'qty_-_domain_0.0_3.0'}),0.9805875,0.6240125,0.6363659540836488,1.0181855265338382
3,frozenset({'qty_=_directory_0.0_1.0'}),0.9903125,0.62385,0.6299526664562953,1.0079242663300725
4,frozenset({'qty_/_params_0.0_1.0'}),0.988525,0.6214375,0.6286512733618269,1.005842037378923
5,frozenset({'qty_params_0.0_4.0'}),0.9889875,0.6211625,0.6280792224370884,1.0049267558993413
6,frozenset({'qty_&_params_0.0_3.0'}),0.9889875,0.6211625,0.6280792224370884,1.0049267558993413
7,frozenset({'qty_&_url_0.0_3.0'}),0.98845,0.621125,0.6283828215893571,1.0054125145429713
8,frozenset({'qty_=_url_0.0_4.0'}),0.9863125,0.62095,0.6295672010645713,1.007307521703314
9,frozenset({'qty_-_file_0.0_10.0'}),0.9889125,0.6141625,0.6210483738450064,0.9936773981520103
10,frozenset({'domain_in_subdomains_0.0_1.0'}),0.9276875,0.59045,0.6364751061106245,1.0183601697769993
11,frozenset({'qty_tld_url_3.0_8.0'}),0.8230625,0.5439,0.6608246639835978,1.0573194623737565
12,frozenset({'qty_._file_0.0_1.0'}),0.7267375,0.5018875,0.6906035535526928,1.1049656856843084
13,"frozenset({'qty_@_params_0', 'qty_@_url_0'})",0.9878625,0.624675,0.6323501499449569,1.011760239911931
14,"frozenset({'qty_@_params_0', 'qty_-_domain_0.0_3.0'})",0.9715125,0.624,0.6422974485660247,1.0276759177056394
15,"frozenset({'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9689,0.6236875,0.6437067808855402,1.0299308494168644
16,"frozenset({'qty_@_params_0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9689,0.6236875,0.6437067808855402,1.0299308494168644
17,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0'})",0.981425,0.6238375,0.6356445984155692,1.0170313574649108
18,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_url_0'})",0.97915,0.6235375,0.6368150947250166,1.0189041515600266
19,"frozenset({'qty_=_directory_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.971075,0.6228625,0.6414154416497181,1.026264706639549
20,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_@_url_0'})",0.97915,0.6235375,0.6368150947250166,1.0189041515600266
21,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_-_domain_0.0_3.0'})",0.962475,0.62285,0.6471336917842022,1.0354139068547235
22,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9603625,0.62255,0.6482448033945516,1.0371916854312826
23,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9603625,0.62255,0.6482448033945516,1.0371916854312826
24,"frozenset({'qty_@_params_0', 'qty_/_params_0.0_1.0'})",0.98075,0.6214375,0.6336349732347692,1.0138159571756309
25,"frozenset({'qty_/_params_0.0_1.0', 'qty_@_url_0'})",0.978,0.621125,0.635097137014315,1.016155419222904
26,"frozenset({'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.9696625,0.62045,0.6398618075876915,1.0237788921403064
27,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0'})",0.9788625,0.6202875,0.6336819522660231,1.013891123625637
28,"frozenset({'qty_@_params_0', 'qty_@_url_0', 'qty_/_params_0.0_1.0'})",0.978,0.621125,0.635097137014315,1.016155419222904
29,"frozenset({'qty_@_params_0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.962175,0.62045,0.6448411151817496,1.0317457842907993
30,"frozenset({'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.959575,0.6201375,0.6462626683688092,1.0340202693900946
31,"frozenset({'qty_@_params_0', 'qty_@_url_0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.959575,0.6201375,0.6462626683688092,1.0340202693900946
32,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_/_params_0.0_1.0'})",0.97155,0.6202875,0.6384514435695537,1.021522309711286
33,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0'})",0.9693,0.6199875,0.6396239554317549,1.0233983286908077
34,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.960175,0.6193,0.6449865909860182,1.0319785455776291
35,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_@_url_0', 'qty_/_params_0.0_1.0'})",0.9693,0.6199875,0.6396239554317549,1.0233983286908077
36,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.95315,0.6193,0.649740334679746,1.0395845354875937
37,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.95105,0.619,0.6508595762578203,1.0413753220125126
38,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_@_params_0', 'qty_-_domain_0.0_3.0'})",0.95105,0.619,0.6508595762578203,1.0413753220125126
39,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0'})",0.981575,0.6211625,0.6328222499554288,1.0125155999286861
40,"frozenset({'qty_params_0.0_4.0', 'qty_@_url_0'})",0.978825,0.62085,0.6342808980154778,1.0148494368247645
41,"frozenset({'qty_params_0.0_4.0', 'qty_-_domain_0.0_3.0'})",0.9702125,0.620175,0.6392156357499001,1.0227450171998402
42,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0'})",0.9793625,0.6200125,0.6330776397911907,1.012924223665905
43,"frozenset({'qty_params_0.0_4.0', 'qty_/_params_0.0_1.0'})",0.9814125,0.619,0.6307235744399017,1.0091577191038428
44,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0', 'qty_@_url_0'})",0.978825,0.62085,0.6342808980154778,1.0148494368247645
45,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0', 'qty_-_domain_0.0_3.0'})",0.9630875,0.620175,0.6439446052409569,1.030311368385531
46,"frozenset({'qty_params_0.0_4.0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9605,0.6198625,0.6453539823008849,1.032566371681416
47,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9605,0.6198625,0.6453539823008849,1.032566371681416
48,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_@_params_0'})",0.972425,0.6200125,0.6375941589325654,1.0201506542921046
49,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_@_url_0'})",0.970175,0.6197125,0.6387636251191795,1.0220218001906871
50,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.9607625,0.619025,0.6443059549056089,1.0308895278489743
51,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_@_url_0'})",0.970175,0.6197125,0.6387636251191795,1.0220218001906871
52,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_-_domain_0.0_3.0'})",0.9541125,0.619025,0.6487966565787577,1.0380746505260123
53,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.952025,0.618725,0.6499041516766891,1.0398466426827027
54,"frozenset({'qty_=_directory_0.0_1.0', 'qty_@_url_0', 'qty_@_params_0', 'qty_params_0.0_4.0', 'qty_-_domain_0.0_3.0'})",0.952025,0.618725,0.6499041516766891,1.0398466426827027
55,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0', 'qty_/_params_0.0_1.0'})",0.9743,0.619,0.635327927742995,1.0165246843887918
56,"frozenset({'qty_params_0.0_4.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0'})",0.9715625,0.6186875,0.636796397555484,1.0188742360887744
57,"frozenset({'qty_params_0.0_4.0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.9627,0.6180125,0.6419575153214916,1.0271320245143865
58,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0'})",0.9718,0.61785,0.6357789668656102,1.0172463469849764
59,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0', 'qty_@_url_0', 'qty_/_params_0.0_1.0'})",0.9715625,0.6186875,0.636796397555484,1.0188742360887744
60,"frozenset({'qty_params_0.0_4.0', 'qty_@_params_0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.955875,0.6180125,0.6465411272394402,1.0344658035831045
61,"frozenset({'qty_params_0.0_4.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_-_domain_0.0_3.0'})",0.9532875,0.6177,0.6479682152551041,1.0367491444081665
62,"frozenset({'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_@_params_0', 'qty_params_0.0_4.0', 'qty_-_domain_0.0_3.0'})",0.9532875,0.6177,0.6479682152551041,1.0367491444081665
63,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_@_params_0', 'qty_/_params_0.0_1.0'})",0.96515,0.61785,0.6401595606900482,1.024255297104077
64,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0'})",0.9629125,0.61755,0.6413355315254502,1.0261368504407202
65,"frozenset({'qty_params_0.0_4.0', 'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_-_domain_0.0_3.0'})",0.9532625,0.6168625,0.6471066469099539,1.0353706350559262
66,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_@_params_0', 'qty_params_0.0_4.0'})",0.9629125,0.61755,0.6413355315254502,1.0261368504407202
67,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_params_0', 'qty_params_0.0_4.0', 'qty_-_domain_0.0_3.0'})",0.9469,0.6168625,0.6514547470693843,1.042327595311015
68,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_params_0.0_4.0', 'qty_-_domain_0.0_3.0'})",0.9448125,0.6165625,0.6525765694251505,1.0441225110802408
69,"frozenset({'qty_=_directory_0.0_1.0', 'qty_/_params_0.0_1.0', 'qty_@_url_0', 'qty_@_params_0', 'qty_params_0.0_4.0', 'qty_-_domain_0.0_3.0'})",0.9448125,0.6165625,0.6525765694251505,1.0441225110802408
70,"frozenset({'qty_params_0.0_4.0', 'qty_&_params_0.0_3.0'})",0.9889875,0.6211625,0.6280792224370884,1.0049267558993413
71,"frozenset({'qty_&_params_0.0_3.0', 'qty_@_params_0'})",0.981575,0.6211625,0.6328222499554288,1.0125155999286861
72,"frozenset({'qty_&_params_0.0_3.0', 'qty_@_url_0'})",0.978825,0.62085,0.6342808980154778,1.0148494368247645
73,"frozenset({'qty_&_params_0.0_3.0', 'qty_-_domain_0.0_3.0'})",0.9702125,0.620175,0.6392156357499001,1.0227450171998402
74,"frozenset({'qty_=_directory_0.0_1.0', 'qty_&_params_0.0_3.0'})",0.9793625,0.6200125,0.6330776397911907,1.012924223665905
75,"frozenset({'qty_&_params_0.0_3.0', 'qty_/_params_0.0_1.0'})",0.9814125,0.619,0.6307235744399017,1.0091577191038428
