,Itemset,Antecedent Support,Union Support,Confidence,Lift
0,frozenset({'external_hyperlink_ratio_0.05_0.17'}),0.251075,0.2093,0.8336154535497362,1.3337847256795778
1,frozenset({'css_files_ratio_0.0_0.03'}),0.2498125,0.2241625,0.8973229922441831,1.4357167875906929
2,frozenset({'total_hyperlinks_71.0_186.0'}),0.2508125,0.2230125,0.8891602292549216,1.4226563668078744
3,frozenset({'total_hyperlinks_186.0_3151.01'}),0.25185,0.23405,0.9293230097280126,1.4869168155648202
4,frozenset({'PctExtHyperlinks_0.21_0.92'}),0.2500375,0.2280125,0.9119132130180473,1.4590611408288756
5,frozenset({'internal_hyperlink_ratio_0.62_0.8'}),0.250075,0.202725,0.8106568029591122,1.2970508847345796
6,frozenset({'qty_-_directory_2.0_18.0'}),0.2559375,0.2363125,0.9233211233211234,1.4773137973137973
7,"frozenset({'qty_-_domain_0.0_3.0', 'suspicious_form_ratio_0.5_1.0', 'qty_._url_2.0_3.0', 'qty_._directory_0.0_1.0'})",0.2338625,0.187525,0.801860067347266,1.2829761077556256
8,"frozenset({'qty_-_domain_0.0_3.0', 'external_hyperlink_ratio_0.05_0.17'})",0.24955,0.2090375,0.8376577840112202,1.3402524544179522
9,"frozenset({'qty_-_file_0.0_10.0', 'external_hyperlink_ratio_0.05_0.17'})",0.2491,0.207325,0.8322962665596146,1.3316740264953835
10,"frozenset({'num_sensitive_words_0', 'external_hyperlink_ratio_0.05_0.17'})",0.22115,0.1918375,0.8674542165950712,1.387926746552114
11,"frozenset({'qty_-_domain_0.0_3.0', 'qty_-_file_0.0_10.0', 'external_hyperlink_ratio_0.05_0.17'})",0.247575,0.2070625,0.8363627183681713,1.338180349389074
12,"frozenset({'qty_-_domain_0.0_3.0', 'num_sensitive_words_0', 'external_hyperlink_ratio_0.05_0.17'})",0.220175,0.1915875,0.8701600999205177,1.3922561598728282
13,"frozenset({'num_sensitive_words_0', 'qty_-_file_0.0_10.0', 'external_hyperlink_ratio_0.05_0.17'})",0.2193125,0.19,0.8663436876603021,1.3861499002564834
14,"frozenset({'qty_-_domain_0.0_3.0', 'num_sensitive_words_0', 'qty_-_file_0.0_10.0', 'external_hyperlink_ratio_0.05_0.17'})",0.2183375,0.18975,0.869067384210225,1.39050781473636
15,"frozenset({'qty_-_domain_0.0_3.0', 'css_files_ratio_0.0_0.03'})",0.24775,0.2236375,0.9026740665993945,1.4442785065590313
16,"frozenset({'css_files_ratio_0.0_0.03', 'qty_-_file_0.0_10.0'})",0.2449875,0.2193375,0.8953007806520741,1.4324812490433185
17,"frozenset({'num_sensitive_words_0', 'css_files_ratio_0.0_0.03'})",0.23275,0.2119,0.9104189044038667,1.4566702470461868
18,"frozenset({'css_files_ratio_0.0_0.03', 'qty_tld_url_3.0_8.0'})",0.2165125,0.1977375,0.9132844523988223,1.4612551238381157
19,"frozenset({'css_files_ratio_0.0_0.03', 'PctExtResourceUrls_0.49_1.0'})",0.2140625,0.1896375,0.8858978102189781,1.417436496350365
20,"frozenset({'qty_-_domain_0.0_3.0', 'css_files_ratio_0.0_0.03', 'qty_-_file_0.0_10.0'})",0.24295,0.2188375,0.900751183371064,1.4412018933937023
21,"frozenset({'qty_-_domain_0.0_3.0', 'num_sensitive_words_0', 'css_files_ratio_0.0_0.03'})",0.2307875,0.2113875,0.9159399880842767,1.4655039809348427
22,"frozenset({'num_sensitive_words_0', 'css_files_ratio_0.0_0.03', 'qty_-_file_0.0_10.0'})",0.2282875,0.2074375,0.9086677982806768,1.4538684772490829
23,"frozenset({'qty_-_domain_0.0_3.0', 'num_sensitive_words_0', 'css_files_ratio_0.0_0.03', 'qty_-_file_0.0_10.0'})",0.22635,0.20695,0.9142920256240336,1.4628672409984538
24,"frozenset({'qty_-_domain_0.0_3.0', 'css_files_ratio_0.0_0.03', 'qty_tld_url_3.0_8.0'})",0.2146125,0.197225,0.9189818859572485,1.4703710175315976
25,"frozenset({'css_files_ratio_0.0_0.03', 'qty_-_file_0.0_10.0', 'qty_tld_url_3.0_8.0'})",0.2123125,0.1935375,0.911569031498381,1.4585104503974096
26,"frozenset({'num_sensitive_words_0', 'css_files_ratio_0.0_0.03', 'qty_tld_url_3.0_8.0'})",0.203025,0.188075,0.9263637483068586,1.4821819972909738
27,"frozenset({'qty_-_domain_0.0_3.0', 'css_files_ratio_0.0_0.03', 'qty_-_file_0.0_10.0', 'qty_tld_url_3.0_8.0'})",0.2104375,0.19305,0.9173745173745174,1.4677992277992278
28,"frozenset({'qty_-_domain_0.0_3.0', 'num_sensitive_words_0', 'css_files_ratio_0.0_0.03', 'qty_tld_url_3.0_8.0'})",0.2012125,0.187575,0.9322233956637883,1.4915574330620613
29,"frozenset({'qty_-_domain_0.0_3.0', 'css_files_ratio_0.0_0.03', 'PctExtResourceUrls_0.49_1.0'})",0.2121625,0.1892625,0.8920638661403405,1.4273021858245447
30,"frozenset({'qty_-_domain_0.0_3.0', 'total_hyperlinks_71.0_186.0'})",0.24865,0.2225875,0.8951839935652524,1.4322943897044038
31,"frozenset({'total_hyperlinks_71.0_186.0', 'qty_-_file_0.0_10.0'})",0.2471,0.2193125,0.8875455281262646,1.4200728450020235
32,"frozenset({'num_sensitive_words_0', 'total_hyperlinks_71.0_186.0'})",0.225325,0.20315,0.9015865971374681,1.442538555419949
33,"frozenset({'total_hyperlinks_71.0_186.0', 'qty_tld_url_3.0_8.0'})",0.2136125,0.1940375,0.9083621042776054,1.4533793668441688
34,"frozenset({'qty_-_domain_0.0_3.0', 'total_hyperlinks_71.0_186.0', 'qty_-_file_0.0_10.0'})",0.2449375,0.2188875,0.8936463383516203,1.4298341413625926
35,"frozenset({'qty_-_domain_0.0_3.0', 'num_sensitive_words_0', 'total_hyperlinks_71.0_186.0'})",0.2235375,0.2027625,0.907062573393726,1.4513001174299616
36,"frozenset({'total_hyperlinks_71.0_186.0', 'num_sensitive_words_0', 'qty_-_file_0.0_10.0'})",0.22205,0.1998875,0.9001913983337086,1.440306237333934
37,"frozenset({'qty_-_domain_0.0_3.0', 'total_hyperlinks_71.0_186.0', 'num_sensitive_words_0', 'qty_-_file_0.0_10.0'})",0.2202625,0.1995,0.9057374723341468,1.449179955734635
38,"frozenset({'qty_-_domain_0.0_3.0', 'total_hyperlinks_71.0_186.0', 'qty_tld_url_3.0_8.0'})",0.21175,0.1936375,0.9144628099173554,1.4631404958677687
39,"frozenset({'total_hyperlinks_71.0_186.0', 'qty_-_file_0.0_10.0', 'qty_tld_url_3.0_8.0'})",0.21035,0.1907875,0.9070002376990729,1.4512003803185167
40,"frozenset({'qty_-_domain_0.0_3.0', 'total_hyperlinks_71.0_186.0', 'qty_-_file_0.0_10.0', 'qty_tld_url_3.0_8.0'})",0.2084875,0.1903875,0.9131842436596918,1.461094789855507
41,"frozenset({'qty_/_url_4.0_5.0', 'qty_tld_url_3.0_8.0'})",0.2350125,0.1881625,0.8006489016541674,1.2810382426466678
42,"frozenset({'qty_-_domain_0.0_3.0', 'qty_/_url_4.0_5.0', 'num_sensitive_words_0'})",0.237175,0.190325,0.8024665331506272,1.2839464530410036
43,"frozenset({'qty_-_domain_0.0_3.0', 'qty_/_url_4.0_5.0', 'num_sensitive_words_0', 'qty_-_file_0.0_10.0'})",0.23455,0.1877625,0.8005222767000639,1.2808356427201022
44,"frozenset({'qty_-_domain_0.0_3.0', 'qty_/_url_4.0_5.0', 'qty_tld_url_3.0_8.0'})",0.232575,0.18805,0.8085563796624744,1.293690207459959
45,"frozenset({'qty_-_domain_0.0_3.0', 'script_files_ratio_0.01_0.05'})",0.24695,0.198325,0.8030977930755213,1.2849564689208341
46,"frozenset({'qty_-_domain_0.0_3.0', 'script_files_ratio_0.01_0.05', 'qty_-_file_0.0_10.0'})",0.24355,0.194925,0.8003490043112297,1.2805584068979674
