,Itemset,Antecedent Support,Union Support,Confidence,Lift
0,"frozenset({'qty_._directory_1.0_9.0', 'file_length_6.0_13.0'})",0.157625,0.1197125,0.7594766058683585,2.0252709489822895
1,"frozenset({'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0'})",0.157625,0.1197125,0.7594766058683585,2.0252709489822895
2,"frozenset({'qty_._directory_1.0_9.0', 'qty___file_0.0_3.0', 'file_length_6.0_13.0'})",0.1576,0.1197125,0.7595970812182742,2.0255922165820643
3,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0'})",0.152575,0.1151375,0.7546288710470261,2.012343656125403
4,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_url_0.0_3.0', 'file_length_6.0_13.0'})",0.1525125,0.115075,0.7545283173510368,2.012075512936098
5,"frozenset({'qty_._directory_1.0_9.0', 'qty_@_params_0', 'file_length_6.0_13.0'})",0.152525,0.1146125,0.7514341911162106,2.0038245096432283
6,"frozenset({'qty_._directory_1.0_9.0', 'qty_=_params_0.0_4.0', 'file_length_6.0_13.0'})",0.15165,0.1143625,0.754121332014507,2.010990218705352
7,"frozenset({'qty_._directory_1.0_9.0', 'qty_=_url_0.0_4.0', 'file_length_6.0_13.0'})",0.1514,0.1141125,0.7537153236459709,2.009907529722589
8,"frozenset({'qty_._directory_1.0_9.0', 'qty_@_url_0', 'file_length_6.0_13.0'})",0.1517875,0.113875,0.7502264679239068,2.0006039144637513
9,"frozenset({'qty_._directory_1.0_9.0', 'qty___file_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0'})",0.1576,0.1197125,0.7595970812182742,2.0255922165820643
10,"frozenset({'qty_._directory_1.0_9.0', 'qty___file_0.0_3.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0'})",0.15255,0.1151375,0.7547525401507703,2.0126734404020543
11,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0'})",0.152575,0.1151375,0.7546288710470261,2.012343656125403
12,"frozenset({'qty_-_file_0.0_10.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0'})",0.15255,0.1151375,0.7547525401507703,2.0126734404020543
13,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_url_0.0_3.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0'})",0.1525125,0.115075,0.7545283173510368,2.012075512936098
